category,product_name,calories,fat_g,carbohydrates_g,proteins_g
Breakfast,Egg McMuffin,300,13,31,17
Breakfast,Egg White Delight,250,8,30,18
Breakfast,Sausage McMuffin,370,23,29,14
Breakfast,Sausage McMuffin with Egg,450,28,30,21
Breakfast,Sausage McMuffin with Egg Whites,400,23,30,21
Breakfast,Steak & Egg McMuffin,430,23,31,26
Breakfast,"Bacon, Egg & Cheese Biscuit Regular Biscuit",460,26,38,19
Breakfast,"Bacon, Egg & Cheese Biscuit Large Biscuit",520,30,43,19
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites Regular Biscuit",410,20,36,20
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites Large Biscuit",470,25,42,20
Breakfast,Sausage Biscuit Regular Biscuit,430,27,34,11
Breakfast,Sausage Biscuit Large Biscuit,480,31,39,11
Breakfast,Sausage Biscuit with Egg Regular Biscuit,510,33,36,18
Breakfast,Sausage Biscuit with Egg Large Biscuit,570,37,42,18
Breakfast,Sausage Biscuit with Egg Whites Regular Biscuit,460,27,34,18
Breakfast,Sausage Biscuit with Egg Whites Large Biscuit,520,32,40,18
Breakfast,Southern Style Chicken Biscuit Regular Biscuit,410,20,41,17
Breakfast,Southern Style Chicken Biscuit Large Biscuit,470,24,46,17
Breakfast,Steak & Egg Biscuit Regular Biscuit,540,32,38,25
Breakfast,"Bacon, Egg & Cheese McGriddles",460,21,48,19
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",400,15,47,20
Breakfast,Sausage McGriddles,420,22,44,11
Breakfast,"Sausage, Egg & Cheese McGriddles",550,31,48,20
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",500,26,46,21
Breakfast,"Bacon, Egg & Cheese Bagel",620,31,57,30
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",570,25,55,30
Breakfast,"Steak, Egg & Cheese Bagel",670,35,56,33
Breakfast,Big Breakfast Regular Biscuit,740,48,51,28
Breakfast,Big Breakfast Large Biscuit,800,52,56,28
Breakfast,Big Breakfast with Egg Whites Regular Biscuit,640,37,50,26
Breakfast,Big Breakfast with Egg Whites Large Biscuit,690,41,55,26
Breakfast,Big Breakfast with Hotcakes Regular Biscuit,1090,56,111,36
Breakfast,Big Breakfast with Hotcakes Large Biscuit,1150,60,116,36
Breakfast,Big Breakfast with Hotcakes and Egg Whites Regular Biscuit,990,46,110,35
Breakfast,Big Breakfast with Hotcakes and Egg Whites Large Biscuit,1050,50,115,35
Breakfast,Hotcakes,350,9,60,8
Breakfast,Hotcakes and Sausage,520,24,61,15
Breakfast,Sausage Burrito,300,16,26,12
Breakfast,Hash Brown,150,9,15,1
Breakfast,Cinnamon Melts,460,19,66,6
Breakfast,Fruit & Maple Oatmeal,290,4,58,5
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,260,4,49,5
Beef & Pork,Big Mac,530,27,47,24
Beef & Pork,Quarter Pounder with Cheese,520,26,41,30
Beef & Pork,Quarter Pounder with Bacon & Cheese,600,29,48,37
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,610,31,46,37
Beef & Pork,Quarter Pounder Deluxe,540,27,45,29
Beef & Pork,Double Quarter Pounder with Cheese,750,43,42,48
Beef & Pork,Hamburger,240,8,32,12
Beef & Pork,Cheeseburger,290,11,33,15
Beef & Pork,Double Cheeseburger,430,21,35,24
Beef & Pork,Bacon Clubhouse Burger,720,40,51,39
Beef & Pork,McDouble,380,17,34,22
Beef & Pork,Bacon McDouble,440,22,35,27
Beef & Pork,Daily Double,430,22,34,22
Beef & Pork,Jalapeño Double,430,23,35,22
Beef & Pork,McRib,500,26,44,22
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,510,22,55,24
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,350,9,42,28
Chicken & Fish,Premium Crispy Chicken Club Sandwich,670,33,58,36
Chicken & Fish,Premium Grilled Chicken Club Sandwich,510,20,44,40
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,610,28,57,32
